temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
10	3.24	0.324	0.3331705729166667	nan	0.014129638671875	0.07119607925415039	0.3967	0.06352942708333331	0.3453	0.01212942708333331	0.3403	0.007129427083333306	0.3313	-0.0018705729166667018	0.3387	0.005529427083333316	0.3328	-0.00037057291666670045	0.3367	0.003529427083333314	0.3303	-0.0028705729166667027	0.3363	0.0031294270833333027	0.3239	-0.009270572916666664	0.3314	-0.0017705729166667128	0.3487	0.015529427083333325
11	3.17	0.317	0.3331705729166667	nan	0.024974346160888672	0.10052061080932617	0.4092	0.07602942708333332	0.3482	0.015029427083333324	0.3389	0.005729427083333294	0.3394	0.006229427083333294	0.3263	-0.006870572916666706	0.3345	0.0013294270833333344	0.3225	-0.010670572916666676	0.3235	-0.009670572916666675	0.3236	-0.009570572916666686	0.3174	-0.01577057291666667	0.3301	-0.0030705729166666806	0.332	-0.0011705729166666679
12	3.1	0.31	0.3331705729166667	nan	0.028722286224365234	0.11639070510864258	0.4034	0.0702294270833333	0.3569	0.02372942708333331	0.3473	0.014129427083333312	0.3437	0.01052942708333332	0.3362	0.0030294270833333137	0.3299	-0.0032705729166666586	0.3305	-0.002670572916666669	0.331	-0.0021705729166666687	0.3234	-0.009770572916666664	0.3149	-0.018270572916666672	0.3219	-0.011270572916666666	0.3155	-0.017670572916666683
13	3.03	0.303	0.3331705729166667	1.1244554918131124	0.03443503379821777	0.13480615615844727	0.4246	0.09142942708333329	0.3691	0.0359294270833333	0.3504	0.017229427083333304	0.3473	0.014129427083333312	0.3442	0.01102942708333332	0.3433	0.010129427083333309	0.3333	0.0001294270833333	0.3188	-0.014370572916666713	0.3149	-0.018270572916666672	0.3116	-0.021570572916666697	0.3045	-0.028670572916666692	0.2832	-0.04997057291666668
14	2.96	0.296	0.3331705729166667	1.274075371634738	0.037479400634765625	0.13730907440185547	0.413	0.0798294270833333	0.3702	0.03702942708333329	0.3492	0.016029427083333325	0.3354	0.0022294270833332908	0.3431	0.009929427083333331	0.3312	-0.0019705729166666908	0.3271	-0.006070572916666683	0.3177	-0.015470572916666703	0.3176	-0.015570572916666692	0.306	-0.02717057291666669	0.3138	-0.019370572916666662	0.3081	-0.0250705729166667
15	2.8899999999999997	0.289	0.3331705729166667	1.3087716371720062	0.044121742248535156	0.15624094009399414	0.4226	0.08942942708333329	0.3723	0.039129427083333335	0.3549	0.021729427083333308	0.3444	0.011229427083333299	0.3369	0.003729427083333292	0.3253	-0.007870572916666707	0.3307	-0.002470572916666691	0.3276	-0.005570572916666683	0.3181	-0.015070572916666691	0.3173	-0.01587057291666666	0.3169	-0.01627057291666667	0.3244	-0.008770572916666663
16	2.82	0.282	0.3331705729166667	1.5192764750973329	0.06443667411804199	0.22121524810791016	0.446	0.11282942708333332	0.3843	0.05112942708333329	0.3691	0.0359294270833333	0.3487	0.015529427083333325	0.346	0.012829427083333289	0.3367	0.003529427083333314	0.3182	-0.014970572916666702	0.3146	-0.018570572916666694	0.3047	-0.02847057291666666	0.2931	-0.04007057291666666	0.2834	-0.0497705729166667	0.2812	-0.05197057291666668
17	2.75	0.275	0.3331705729166667	1.7925385008910548	0.08269119262695312	0.273770809173584	0.4531	0.11992942708333332	0.4016	0.06842942708333333	0.3784	0.04522942708333333	0.3495	0.016329427083333292	0.3454	0.0122294270833333	0.327	-0.006170572916666672	0.3169	-0.01627057291666667	0.3001	-0.03307057291666671	0.2901	-0.04307057291666666	0.2788	-0.05437057291666669	0.2734	-0.05977057291666671	0.2621	-0.07107057291666669
18	2.68	0.268	0.3331705729166667	2.329026367907879	0.133650541305542	0.41588878631591797	0.4844	0.1512294270833333	0.4334	0.10022942708333332	0.4091	0.07592942708333333	0.3756	0.042429427083333304	0.3477	0.014529427083333324	0.3334	0.00022942708333328898	0.3129	-0.020270572916666674	0.2979	-0.03527057291666669	0.2697	-0.06347057291666669	0.2458	-0.0873705729166667	0.2274	-0.1057705729166667	0.2041	-0.12907057291666668
19	2.6100000000000003	0.261	0.3331705729166667	2.3471883970441683	0.1607811450958252	0.5004825592041016	0.5165	0.18332942708333327	0.4608	0.1276294270833333	0.4157	0.08252942708333333	0.3816	0.04842942708333331	0.3625	0.029329427083333304	0.333	-0.00017057291666666696	0.3088	-0.024370572916666666	0.28	-0.05317057291666666	0.2553	-0.07787057291666666	0.2334	-0.09977057291666669	0.2042	-0.1289705729166667	0.1873	-0.1458705729166667
20	2.54	0.254	0.3331705729166667	2.597629250752769	0.18634414672851562	0.5786170959472656	0.5324	0.1992294270833333	0.4651	0.13192942708333333	0.4348	0.10162942708333333	0.398	0.06482942708333334	0.3669	0.03372942708333332	0.331	-0.0021705729166666687	0.2924	-0.04077057291666669	0.2754	-0.05777057291666671	0.2464	-0.08677057291666668	0.2129	-0.12027057291666668	0.1838	-0.1493705729166667	0.1553	-0.1778705729166667
21	2.4699999999999998	0.24699999999999997	0.3331705729166667	2.5415500198193772	0.19583392143249512	0.6130013465881348	0.5427	0.20952942708333328	0.4773	0.14412942708333332	0.4341	0.1009294270833333	0.4041	0.07092942708333333	0.3644	0.031229427083333317	0.3356	0.0024294270833333242	0.295	-0.0381705729166667	0.2706	-0.06257057291666668	0.238	-0.0951705729166667	0.2107	-0.12247057291666669	0.1785	-0.1546705729166667	0.1499	-0.18327057291666668
22	2.4	0.24	0.3331705729166667	2.4541890200734398	0.22274398803710938	0.7139449119567871	0.5698	0.2366294270833333	0.4935	0.1603294270833333	0.445	0.11182942708333332	0.404	0.07082942708333334	0.3712	0.03802942708333329	0.3387	0.005529427083333316	0.2953	-0.03787057291666668	0.2607	-0.0724705729166667	0.2256	-0.10757057291666669	0.1997	-0.1334705729166667	0.1653	-0.16787057291666668	0.1256	-0.2075705729166667
23	2.33	0.233	0.3331705729166667	2.4693685995300196	0.23652148246765137	0.770564079284668	0.5747	0.2415294270833333	0.5025	0.16932942708333326	0.4487	0.1155294270833333	0.4069	0.0737294270833333	0.3693	0.03612942708333333	0.3321	-0.0010705729166666789	0.3042	-0.02897057291666666	0.2582	-0.0749705729166667	0.2234	-0.1097705729166667	0.1802	-0.15297057291666669	0.1565	-0.17667057291666668	0.1166	-0.2165705729166667
24	2.2600000000000002	0.22600000000000003	0.3331705729166667	2.6171800566234413	0.2642173767089844	0.8914122581481934	0.5984	0.26522942708333336	0.5352	0.20202942708333332	0.4688	0.1356294270833333	0.4177	0.08452942708333333	0.3756	0.042429427083333304	0.3316	-0.0015705729166666793	0.2905	-0.042670572916666705	0.2429	-0.09027057291666668	0.2064	-0.12677057291666669	0.1718	-0.16137057291666668	0.1412	-0.1919705729166667	0.1146	-0.2185705729166667
25	2.19	0.219	0.3331705729166667	2.637401487703409	0.2931063175201416	0.9895534515380859	0.6216	0.28842942708333336	0.5542	0.22102942708333334	0.4783	0.14512942708333332	0.4283	0.09512942708333333	0.3803	0.04712942708333334	0.3285	-0.004670572916666671	0.2843	-0.04887057291666669	0.2311	-0.10207057291666669	0.1953	-0.13787057291666668	0.1581	-0.1750705729166667	0.1162	-0.2169705729166667	0.0881	-0.24507057291666667
26	2.12	0.21200000000000002	0.3331705729166667	2.6625711604835214	0.3003389835357666	1.031541347503662	0.6282	0.2950294270833333	0.552	0.21882942708333336	0.4965	0.1633294270833333	0.4278	0.09462942708333333	0.3769	0.04372942708333333	0.3282	-0.004970572916666693	0.2795	-0.05367057291666666	0.2367	-0.09647057291666669	0.1879	-0.14527057291666667	0.1507	-0.18247057291666668	0.1129	-0.22027057291666668	0.0774	-0.2557705729166667
27	2.05	0.205	0.3331705729166667	2.7777104382861815	0.3165562152862549	1.090658187866211	0.6435	0.3103294270833333	0.5664	0.23322942708333333	0.5107	0.17752942708333336	0.4405	0.10732942708333332	0.3815	0.04832942708333332	0.3324	-0.0007705729166667119	0.2707	-0.06247057291666669	0.2348	-0.09837057291666668	0.181	-0.1521705729166667	0.1426	-0.19057057291666668	0.1053	-0.22787057291666668	0.0638	-0.26937057291666666
