temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14
20	2.04	0.17	0.007751937984496124	nan	0.0008881986141204834	0.11368942260742188	0.0116	0.0038480620155038753	0.0065	-0.0012519379844961242	0.0065	-0.0012519379844961242	0.0077	-5.1937984496123676e-05	0.0079	0.00014806201550387685	0.0068	-0.0009519379844961243	0.0081	0.00034806201550387564	0.0065	-0.0012519379844961242	0.0087	0.0009480620155038755	0.0087	0.0009480620155038755	0.0081	0.00034806201550387564	0.0084	0.0006480620155038756	0.0082	0.00044806201550387677	0.0075	-0.0002519379844961242
21	1.98	0.165	0.007751937984496124	nan	0.000912010669708252	0.11673736572265625	0.0125	0.004748062015503877	0.0077	-5.1937984496123676e-05	0.0077	-5.1937984496123676e-05	0.0095	0.0017480620155038758	0.0076	-0.00015193798449612394	0.0064	-0.0013519379844961236	0.0076	-0.00015193798449612394	0.0068	-0.0009519379844961243	0.0082	0.00044806201550387677	0.0075	-0.0002519379844961242	0.0094	0.0016480620155038764	0.0087	0.0009480620155038755	0.0072	-0.0005519379844961241	0.0057	-0.0020519379844961237
22	1.92	0.16	0.007751937984496124	nan	0.000908195972442627	0.11624908447265625	0.0122	0.004448062015503877	0.0075	-0.0002519379844961242	0.0094	0.0016480620155038764	0.0105	0.0027480620155038767	0.0069	-0.000851937984496124	0.0082	0.00044806201550387677	0.0093	0.0015480620155038753	0.0085	0.0007480620155038767	0.0072	-0.0005519379844961241	0.0102	0.002448062015503877	0.0083	0.0005480620155038762	0.0077	-5.1937984496123676e-05	0.0078	4.806201550387572e-05	0.008	0.00024806201550387624
23	1.8599999999999999	0.155	0.007751937984496124	nan	0.0009309947490692139	0.11916732788085938	0.0123	0.004548062015503876	0.0073	-0.00045193798449612386	0.0082	0.00044806201550387677	0.0069	-0.000851937984496124	0.0069	-0.000851937984496124	0.0077	-5.1937984496123676e-05	0.008	0.00024806201550387624	0.0077	-5.1937984496123676e-05	0.0087	0.0009480620155038755	0.0077	-5.1937984496123676e-05	0.0078	4.806201550387572e-05	0.0069	-0.000851937984496124	0.0081	0.00034806201550387564	0.0088	0.0010480620155038766
24	1.7999999999999998	0.15	0.007751937984496124	nan	0.0009123682975769043	0.11678314208984375	0.0127	0.0049480620155038756	0.009	0.0012480620155038754	0.0072	-0.0005519379844961241	0.0073	-0.00045193798449612386	0.0058	-0.0019519379844961243	0.0074	-0.0003519379844961236	0.0088	0.0010480620155038766	0.0072	-0.0005519379844961241	0.0079	0.00014806201550387685	0.0075	-0.0002519379844961242	0.0077	-5.1937984496123676e-05	0.0079	0.00014806201550387685	0.0085	0.0007480620155038767	0.0102	0.002448062015503877
25	1.7399999999999998	0.145	0.007751937984496124	nan	0.0009208917617797852	0.1178741455078125	0.0129	0.005148062015503876	0.0074	-0.0003519379844961236	0.0089	0.001148062015503876	0.0073	-0.00045193798449612386	0.0072	-0.0005519379844961241	0.0058	-0.0019519379844961243	0.0073	-0.00045193798449612386	0.0077	-5.1937984496123676e-05	0.0071	-0.0006519379844961235	0.0081	0.00034806201550387564	0.0092	0.001448062015503876	0.0073	-0.00045193798449612386	0.0068	-0.0009519379844961243	0.0077	-5.1937984496123676e-05
26	1.6800000000000002	0.14	0.007751937984496124	nan	0.0009136795997619629	0.11695098876953125	0.0137	0.0059480620155038764	0.0065	-0.0012519379844961242	0.007	-0.0007519379844961238	0.0062	-0.0015519379844961241	0.0077	-5.1937984496123676e-05	0.0086	0.0008480620155038761	0.0078	4.806201550387572e-05	0.0069	-0.000851937984496124	0.008	0.00024806201550387624	0.0064	-0.0013519379844961236	0.0077	-5.1937984496123676e-05	0.0088	0.0010480620155038766	0.0083	0.0005480620155038762	0.0058	-0.0019519379844961243
27	1.62	0.135	0.007751937984496124	nan	0.0009182989597320557	0.11754226684570312	0.013	0.0052480620155038755	0.0076	-0.00015193798449612394	0.0088	0.0010480620155038766	0.0077	-5.1937984496123676e-05	0.0096	0.0018480620155038752	0.0073	-0.00045193798449612386	0.0093	0.0015480620155038753	0.007	-0.0007519379844961238	0.0082	0.00044806201550387677	0.0076	-0.00015193798449612394	0.0074	-0.0003519379844961236	0.0065	-0.0012519379844961242	0.0076	-0.00015193798449612394	0.0077	-5.1937984496123676e-05
28	1.56	0.13	0.007751937984496124	nan	0.0009158551692962646	0.11722946166992188	0.0145	0.006748062015503877	0.0079	0.00014806201550387685	0.0077	-5.1937984496123676e-05	0.0084	0.0006480620155038756	0.009	0.0012480620155038754	0.0065	-0.0012519379844961242	0.0068	-0.0009519379844961243	0.0081	0.00034806201550387564	0.0079	0.00014806201550387685	0.0078	4.806201550387572e-05	0.0084	0.0006480620155038756	0.009	0.0012480620155038754	0.0082	0.00044806201550387677	0.0057	-0.0020519379844961237
29	1.5	0.125	0.007751937984496124	nan	0.0009206533432006836	0.1178436279296875	0.0149	0.007148062015503876	0.0075	-0.0002519379844961242	0.0071	-0.0006519379844961235	0.0078	4.806201550387572e-05	0.0077	-5.1937984496123676e-05	0.0083	0.0005480620155038762	0.0076	-0.00015193798449612394	0.0081	0.00034806201550387564	0.0096	0.0018480620155038752	0.0072	-0.0005519379844961241	0.0078	4.806201550387572e-05	0.0093	0.0015480620155038753	0.008	0.00024806201550387624	0.0085	0.0007480620155038767
30	1.44	0.12	0.007751937984496124	nan	0.0009077787399291992	0.1161956787109375	0.0151	0.007348062015503877	0.0086	0.0008480620155038761	0.0071	-0.0006519379844961235	0.0055	-0.0022519379844961242	0.0079	0.00014806201550387685	0.0083	0.0005480620155038762	0.0079	0.00014806201550387685	0.0096	0.0018480620155038752	0.0078	4.806201550387572e-05	0.009	0.0012480620155038754	0.006	-0.0017519379844961238	0.01	0.0022480620155038763	0.0078	4.806201550387572e-05	0.0071	-0.0006519379844961235
31	1.3800000000000001	0.115	0.007751937984496124	nan	0.0009753704071044922	0.124847412109375	0.0162	0.008448062015503875	0.0069	-0.000851937984496124	0.0071	-0.0006519379844961235	0.0091	0.0013480620155038765	0.0083	0.0005480620155038762	0.0087	0.0009480620155038755	0.0073	-0.00045193798449612386	0.0065	-0.0012519379844961242	0.0071	-0.0006519379844961235	0.0083	0.0005480620155038762	0.007	-0.0007519379844961238	0.0068	-0.0009519379844961243	0.0077	-5.1937984496123676e-05	0.0079	0.00014806201550387685
32	1.32	0.11	0.007751937984496124	nan	0.0009695887565612793	0.12410736083984375	0.0167	0.008948062015503876	0.0072	-0.0005519379844961241	0.0077	-5.1937984496123676e-05	0.0082	0.00044806201550387677	0.006	-0.0017519379844961238	0.0074	-0.0003519379844961236	0.0084	0.0006480620155038756	0.0095	0.0017480620155038758	0.0085	0.0007480620155038767	0.0075	-0.0002519379844961242	0.0069	-0.000851937984496124	0.0073	-0.00045193798449612386	0.0075	-0.0002519379844961242	0.0076	-0.00015193798449612394
