temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10
26	1.12	0.14	0.030303030303030304	nan	0.01526641845703125	0.488525390625	0.065	0.0346969696969697	0.0347	0.004396969696969698	0.0336	0.003296969696969694	0.027	-0.003303030303030304	0.0328	0.002496969696969699	0.0274	-0.002903030303030303	0.0289	-0.0014030303030303053	0.0303	-3.0303030303033274e-06	0.0292	-0.0011030303030303036	0.0198	-0.010503030303030302
27	1.08	0.135	0.030303030303030304	nan	0.014251708984375	0.4560546875	0.0761	0.0457969696969697	0.0308	0.0004969696969696971	0.0305	0.00019696969696969546	0.0298	-0.0005030303030303038	0.0263	-0.004003030303030303	0.029	-0.0013030303030303024	0.0299	-0.0004030303030303044	0.0296	-0.0007030303030303026	0.0305	0.00019696969696969546	0.0383	0.007996969696969697
28	1.04	0.13	0.030303030303030304	nan	0.01746368408203125	0.558837890625	0.0786	0.0482969696969697	0.0355	0.005196969696969693	0.0325	0.0021969696969696972	0.0325	0.0021969696969696972	0.0291	-0.001203030303030303	0.026	-0.004303030303030305	0.0288	-0.0015030303030303047	0.0282	-0.0021030303030303045	0.027	-0.003303030303030304	0.0169	-0.013403030303030306
29	1.0	0.125	0.030303030303030304	nan	0.01522064208984375	0.487060546875	0.0737	0.0433969696969697	0.035	0.0046969696969696995	0.0286	-0.0017030303030303034	0.0306	0.00029696969696969486	0.0279	-0.0024030303030303027	0.0298	-0.0005030303030303038	0.0287	-0.001603030303030304	0.0286	-0.0017030303030303034	0.0282	-0.0021030303030303045	0.0156	-0.014703030303030305
30	0.96	0.12	0.030303030303030304	nan	0.01546478271484375	0.494873046875	0.0818	0.051496969696969694	0.035	0.0046969696969696995	0.0354	0.005096969696969697	0.0301	-0.0002030303030303056	0.0271	-0.0032030303030303048	0.0304	9.696969696969607e-05	0.027	-0.003303030303030304	0.0302	-0.00010303030303030272	0.0349	0.004596969696969697	0.0246	-0.0057030303030303035
31	0.92	0.115	0.030303030303030304	nan	0.01834869384765625	0.587158203125	0.0942	0.0638969696969697	0.0388	0.008496969696969697	0.0328	0.002496969696969699	0.0303	-3.0303030303033274e-06	0.0303	-3.0303030303033274e-06	0.0315	0.0011969696969696964	0.0288	-0.0015030303030303047	0.0339	0.0035969696969696957	0.0299	-0.0004030303030303044	0.0391	0.008796969696969699
32	0.88	0.11	0.030303030303030304	nan	0.019134521484375	0.6123046875	0.0868	0.0564969696969697	0.039	0.008696969696969696	0.0314	0.0010969696969696935	0.0296	-0.0007030303030303026	0.0285	-0.0018030303030303028	0.0265	-0.0038030303030303046	0.0262	-0.004103030303030303	0.0313	0.0009969696969696976	0.027	-0.003303030303030304	0.0247	-0.005603030303030304
33	0.84	0.105	0.030303030303030304	nan	0.01592254638671875	0.509521484375	0.0922	0.0618969696969697	0.0347	0.004396969696969698	0.0273	-0.0030030303030303025	0.0295	-0.0008030303030303054	0.0299	-0.0004030303030303044	0.0308	0.0004969696969696971	0.0292	-0.0011030303030303036	0.0298	-0.0005030303030303038	0.0297	-0.0006030303030303032	0.0362	0.005896969696969699
34	0.8	0.1	0.030303030303030304	nan	0.02260589599609375	0.723388671875	0.1104	0.0800969696969697	0.041	0.010696969696969698	0.0333	0.0029969696969696993	0.0291	-0.001203030303030303	0.0265	-0.0038030303030303046	0.0292	-0.0011030303030303036	0.0287	-0.001603030303030304	0.0262	-0.004103030303030303	0.0253	-0.005003030303030304	0.014	-0.016303030303030305
35	0.76	0.095	0.030303030303030304	1.2045292852424696	0.15512847900390625	4.964111328125	0.4871	0.4567969696969697	0.2177	0.1873969696969697	0.0807	0.05039696969696969	0.0248	-0.005503030303030305	0.0025	-0.027803030303030305	0.0002	-0.030103030303030305	0.0003	-0.030003030303030302	0.0002	-0.030103030303030305	0.0	-0.030303030303030304	0.0	-0.030303030303030304
