temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
20	1.7000000000000002	0.17	0.015384615384615385	nan	0.0029311180114746094	0.187591552734375	0.0265	0.011115384615384614	0.017	0.0016153846153846158	0.0181	0.002715384615384616	0.0148	-0.0005846153846153848	0.0153	-8.46153846153861e-05	0.0134	-0.001984615384615385	0.0138	-0.0015846153846153857	0.0132	-0.0021846153846153855	0.0139	-0.0014846153846153863	0.0153	-8.46153846153861e-05	0.015	-0.000384615384615386	0.0213	0.005915384615384614
21	1.6500000000000001	0.165	0.015384615384615385	nan	0.0031762123107910156	0.203277587890625	0.0272	0.011815384615384613	0.0166	0.0012153846153846147	0.0148	-0.0005846153846153848	0.0135	-0.0018846153846153856	0.0126	-0.0027846153846153854	0.0163	0.000915384615384613	0.0169	0.0015153846153846129	0.0158	0.0004153846153846161	0.0158	0.0004153846153846161	0.0145	-0.0008846153846153847	0.0173	0.001915384615384614	0.0129	-0.0024846153846153855
22	1.6	0.16	0.015384615384615385	nan	0.003151416778564453	0.201690673828125	0.0272	0.011815384615384613	0.0162	0.0008153846153846137	0.0154	1.5384615384615025e-05	0.0162	0.0008153846153846137	0.0149	-0.0004846153846153854	0.0144	-0.0009846153846153859	0.0154	1.5384615384615025e-05	0.0162	0.0008153846153846137	0.0159	0.0005153846153846155	0.0152	-0.0001846153846153855	0.0146	-0.0007846153846153853	0.016	0.0006153846153846149
23	1.55	0.155	0.015384615384615385	nan	0.0033969879150390625	0.2174072265625	0.0267	0.011315384615384616	0.0158	0.0004153846153846161	0.014	-0.0013846153846153852	0.0148	-0.0005846153846153848	0.0148	-0.0005846153846153848	0.014	-0.0013846153846153852	0.0164	0.001015384615384616	0.0147	-0.0006846153846153859	0.0123	-0.0030846153846153853	0.0155	0.00011538461538461442	0.0139	-0.0014846153846153863	0.0184	0.0030153846153846142
24	1.5	0.15	0.015384615384615385	nan	0.003398418426513672	0.217498779296875	0.0304	0.015015384615384614	0.0153	-8.46153846153861e-05	0.0153	-8.46153846153861e-05	0.0132	-0.0021846153846153855	0.0137	-0.001684615384615385	0.0161	0.0007153846153846143	0.0154	1.5384615384615025e-05	0.0151	-0.0002846153846153849	0.0184	0.0030153846153846142	0.0164	0.001015384615384616	0.0136	-0.0017846153846153862	0.0127	-0.002684615384615386
25	1.45	0.145	0.015384615384615385	nan	0.0033483505249023438	0.21429443359375	0.0276	0.012215384615384614	0.0149	-0.0004846153846153854	0.0143	-0.0010846153846153853	0.0137	-0.001684615384615385	0.0161	0.0007153846153846143	0.0143	-0.0010846153846153853	0.015	-0.000384615384615386	0.0156	0.00021538461538461381	0.0133	-0.002084615384615386	0.0165	0.0011153846153846153	0.0156	0.00021538461538461381	0.0229	0.007515384615384615
26	1.4000000000000001	0.14	0.015384615384615385	nan	0.003250598907470703	0.208038330078125	0.0315	0.016115384615384615	0.0136	-0.0017846153846153862	0.0173	0.001915384615384614	0.0142	-0.0011846153846153847	0.0155	0.00011538461538461442	0.0143	-0.0010846153846153853	0.0155	0.00011538461538461442	0.0153	-8.46153846153861e-05	0.015	-0.000384615384615386	0.0157	0.0003153846153846132	0.0192	0.003815384615384613	0.0121	-0.003284615384615386
27	1.35	0.135	0.015384615384615385	nan	0.0033330917358398438	0.21331787109375	0.0323	0.016915384615384617	0.015	-0.000384615384615386	0.0128	-0.002584615384615385	0.0163	0.000915384615384613	0.0165	0.0011153846153846153	0.0163	0.000915384615384613	0.0146	-0.0007846153846153853	0.0145	-0.0008846153846153847	0.0147	-0.0006846153846153859	0.0159	0.0005153846153846155	0.0149	-0.0004846153846153854	0.0155	0.00011538461538461442
28	1.3	0.13	0.015384615384615385	nan	0.003422260284423828	0.219024658203125	0.0328	0.017415384615384617	0.0153	-8.46153846153861e-05	0.015	-0.000384615384615386	0.0155	0.00011538461538461442	0.0153	-8.46153846153861e-05	0.0171	0.0017153846153846151	0.0162	0.0008153846153846137	0.0141	-0.0012846153846153858	0.0144	-0.0009846153846153859	0.0167	0.001315384615384614	0.0161	0.0007153846153846143	0.0099	-0.005484615384615385
29	1.25	0.125	0.015384615384615385	nan	0.003509998321533203	0.224639892578125	0.0279	0.012515384615384616	0.0185	0.0031153846153846136	0.0136	-0.0017846153846153862	0.0176	0.0022153846153846156	0.0156	0.00021538461538461381	0.0171	0.0017153846153846151	0.0138	-0.0015846153846153857	0.0153	-8.46153846153861e-05	0.0155	0.00011538461538461442	0.0148	-0.0005846153846153848	0.0187	0.003315384615384616	0.0161	0.0007153846153846143
