temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14
30	2.208	0.18400000000000002	0.3332926432291667	3.1325447711074648	0.3770122826099396	1.4104573726654053	0.7455	0.41220735677083337	0.6423	0.3090073567708333	0.5738	0.2405073567708333	0.5107	0.17740735677083336	0.4484	0.11510735677083334	0.3833	0.05000735677083329	0.321	-0.012292643229166678	0.2709	-0.06239264322916671	0.2276	-0.10569264322916669	0.1851	-0.1481926432291667	0.1393	-0.19399264322916668	0.1044	-0.2288926432291667	0.066	-0.2672926432291667	0.0383	-0.2949926432291667
31	2.1239999999999997	0.17699999999999996	0.3332926432291667	3.141767669595754	0.39011842012405396	1.4877784848213196	0.7543	0.4210073567708333	0.6675	0.3342073567708333	0.5848	0.2515073567708333	0.5214	0.1881073567708333	0.4466	0.11330735677083331	0.3799	0.04660735677083333	0.3312	-0.0020926432291666908	0.269	-0.06429264322916667	0.224	-0.10929264322916668	0.1696	-0.16369264322916668	0.1431	-0.19019264322916668	0.0956	-0.23769264322916667	0.0623	-0.27099264322916666	0.0265	-0.30679264322916666
32	2.04	0.17	0.3332926432291667	3.110362828994699	0.40282076597213745	1.583698570728302	0.7716	0.43830735677083327	0.6785	0.3452073567708333	0.5925	0.25920735677083334	0.5158	0.18250735677083335	0.4515	0.11820735677083333	0.3897	0.056407356770833306	0.3271	-0.006192643229166683	0.2767	-0.056592643229166684	0.2257	-0.10759264322916667	0.1683	-0.16499264322916668	0.1301	-0.2031926432291667	0.0916	-0.24169264322916667	0.0575	-0.2757926432291667	0.0238	-0.3094926432291667
33	1.956	0.163	0.3332926432291667	2.989094004971416	0.40735940635204315	1.61480313539505	0.7872	0.4539073567708333	0.6844	0.3511073567708333	0.593	0.2597073567708333	0.5267	0.19340735677083326	0.4447	0.1114073567708333	0.3789	0.04560735677083333	0.3268	-0.006492643229166706	0.2729	-0.06039264322916671	0.2238	-0.10949264322916669	0.1684	-0.1648926432291667	0.1309	-0.2023926432291667	0.0867	-0.24659264322916669	0.0551	-0.2781926432291667	0.0193	-0.3139926432291667
34	1.8719999999999999	0.156	0.3332926432291667	3.094506621824869	0.418626606464386	1.7057154178619385	0.7986	0.4653073567708333	0.7004	0.36710735677083334	0.6123	0.27900735677083327	0.5297	0.19640735677083326	0.4614	0.1281073567708333	0.3819	0.04860735677083333	0.3211	-0.012192643229166689	0.2642	-0.0690926432291667	0.2068	-0.12649264322916667	0.1732	-0.1600926432291667	0.1247	-0.20859264322916668	0.0863	-0.2469926432291667	0.0488	-0.2844926432291667	0.0139	-0.31939264322916666
35	1.7879999999999998	0.149	0.3332926432291667	3.045131261387426	0.4276515394449234	1.7938940525054932	0.8221	0.48880735677083337	0.7088	0.3755073567708333	0.6196	0.28630735677083335	0.5366	0.20330735677083328	0.4576	0.12430735677083332	0.3915	0.05820735677083333	0.3291	-0.0041926432291666815	0.2719	-0.06139264322916671	0.2174	-0.11589264322916668	0.1631	-0.1701926432291667	0.1237	-0.20959264322916668	0.078	-0.25529264322916667	0.0439	-0.2893926432291667	0.0067	-0.3265926432291667
36	1.7039999999999997	0.142	0.3332926432291667	2.985285945186243	0.4353846162557602	1.8709233403205872	0.8383	0.5050073567708333	0.7271	0.3938073567708333	0.634	0.3007073567708333	0.5355	0.2022073567708333	0.4518	0.1185073567708333	0.3931	0.05980735677083332	0.3266	-0.006692643229166684	0.2662	-0.06709264322916669	0.211	-0.12229264322916669	0.165	-0.16829264322916668	0.1249	-0.20839264322916667	0.0773	-0.2559926432291667	0.0388	-0.2944926432291667	0.0044	-0.32889264322916667
37	1.62	0.135	0.3332926432291667	2.914265161793617	0.43944495916366577	1.9238051772117615	0.8468	0.5135073567708333	0.7308	0.3975073567708333	0.6297	0.29640735677083335	0.5402	0.20690735677083333	0.4599	0.1266073567708333	0.3747	0.04140735677083329	0.3222	-0.011092643229166699	0.2629	-0.07039264322916666	0.2202	-0.11309264322916668	0.1596	-0.1736926432291667	0.1109	-0.2223926432291667	0.0783	-0.2549926432291667	0.035	-0.2982926432291667	0.0023	-0.33099264322916666
38	1.536	0.128	0.3332926432291667	2.9350749809267116	0.44124850630760193	1.95187109708786	0.8547	0.5214073567708333	0.728	0.3947073567708333	0.6337	0.30040735677083336	0.5436	0.2103073567708333	0.4551	0.12180735677083332	0.389	0.05570735677083333	0.327	-0.006292643229166672	0.2551	-0.07819264322916669	0.2071	-0.12619264322916668	0.1594	-0.1738926432291667	0.1132	-0.2200926432291667	0.0773	-0.2559926432291667	0.0398	-0.2934926432291667	0.0013	-0.33199264322916666
39	1.452	0.121	0.3332926432291667	3.0071376682628017	0.4433690756559372	1.9798661768436432	0.8488	0.5155073567708333	0.7306	0.39730735677083334	0.6372	0.3039073567708333	0.5505	0.2172073567708333	0.4688	0.1355073567708333	0.3764	0.04310735677083333	0.3218	-0.01149264322916671	0.2631	-0.07019264322916668	0.2092	-0.12409264322916669	0.1645	-0.16879264322916668	0.1176	-0.2156926432291667	0.0817	-0.2515926432291667	0.0349	-0.2983926432291667	0.0009	-0.3323926432291667
40	1.368	0.114	0.3332926432291667	2.9512771025879365	0.44403398036956787	1.9900258779525757	0.8614	0.5281073567708334	0.7312	0.3979073567708333	0.6339	0.30060735677083333	0.5378	0.20450735677083326	0.4635	0.13020735677083334	0.3981	0.06480735677083332	0.3235	-0.009792643229166675	0.2636	-0.06969264322916668	0.2157	-0.11759264322916668	0.1692	-0.1640926432291667	0.1201	-0.2131926432291667	0.0755	-0.2577926432291667	0.0338	-0.2994926432291667	0.0008	-0.33249264322916666
41	1.284	0.107	0.3332926432291667	2.9051627607534645	0.444210484623909	1.9920130968093872	0.8567	0.5234073567708333	0.7348	0.4015073567708333	0.6303	0.2970073567708333	0.5412	0.20790735677083333	0.4579	0.12460735677083329	0.3849	0.051607356770833335	0.3297	-0.003592643229166692	0.2593	-0.07399264322916671	0.2074	-0.12589264322916668	0.1636	-0.1696926432291667	0.1123	-0.22099264322916667	0.0748	-0.25849264322916665	0.0345	-0.29879264322916665	0.0003	-0.33299264322916666
42	1.2000000000000002	0.10000000000000002	0.3332926432291667	2.9493494065424164	0.44421447813510895	1.9919853806495667	0.8519	0.5186073567708334	0.7394	0.40610735677083326	0.6325	0.29920735677083327	0.5416	0.20830735677083329	0.4544	0.12110735677083334	0.3921	0.05880735677083332	0.3279	-0.00539264322916666	0.2594	-0.07389264322916667	0.213	-0.12029264322916669	0.1637	-0.16959264322916667	0.1211	-0.2121926432291667	0.0729	-0.26039264322916666	0.0374	-0.2958926432291667	0.0	-0.3332926432291667
43	0.8999999999999999	0.075	0.3332926432291667	2.9789729967048255	0.44442927837371826	1.9996347427368164	0.8547	0.5214073567708333	0.7349	0.4016073567708333	0.6341	0.3008073567708333	0.5375	0.2042073567708333	0.4704	0.1371073567708333	0.3896	0.05630735677083332	0.3168	-0.01649264322916666	0.2589	-0.07439264322916667	0.2098	-0.1234926432291667	0.1628	-0.17049264322916668	0.1107	-0.22259264322916666	0.0703	-0.2629926432291667	0.0366	-0.29669264322916666	0.0	-0.3332926432291667
44	0.6000000000000001	0.05000000000000001	0.3332926432291667	2.898642548806559	0.44444435834884644	1.9996337890625	0.8592	0.5259073567708332	0.7301	0.3968073567708333	0.6281	0.2948073567708333	0.5388	0.20550735677083326	0.4587	0.1254073567708333	0.3899	0.05660735677083334	0.3241	-0.009192643229166686	0.2658	-0.0674926432291667	0.2079	-0.12539264322916668	0.1671	-0.1661926432291667	0.1154	-0.21789264322916668	0.0747	-0.2585926432291667	0.0373	-0.2959926432291667	0.0	-0.3332926432291667
