temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16	q_17	G_17	q_18	G_18
28	3.168	0.198	0.33333079020182294	3.9723824627378526	0.3682817270164378	1.3852176824584603	0.7593	0.42596920979817704	0.6889	0.355569209798177	0.6244	0.291069209798177	0.5602	0.2268692097981771	0.5105	0.17716920979817702	0.4571	0.12376920979817707	0.4171	0.08376920979817709	0.3665	0.03316920979817706	0.3214	-0.011930790201822916	0.2853	-0.04803079020182294	0.2573	-0.07603079020182296	0.2221	-0.11123079020182294	0.1798	-0.15353079020182295	0.1602	-0.17313079020182293	0.1225	-0.21083079020182294	0.0937	-0.23963079020182293	0.0652	-0.26813079020182295	0.0463	-0.2870307902018229
29	3.056	0.191	0.33333079020182294	3.9319580857958805	0.38592716306447983	1.5024872390786186	0.7838	0.4504692097981771	0.7191	0.385769209798177	0.6424	0.30906920979817704	0.5766	0.24326920979817707	0.5198	0.1864692097981771	0.4666	0.13326920979817708	0.4121	0.07876920979817709	0.3676	0.03426920979817705	0.3235	-0.009830790201822925	0.2907	-0.04263079020182292	0.2464	-0.08693079020182293	0.2105	-0.12283079020182294	0.1777	-0.15563079020182294	0.1539	-0.17943079020182293	0.1141	-0.21923079020182296	0.0851	-0.24823079020182293	0.06	-0.27333079020182294	0.0336	-0.2997307902018229
30	2.944	0.184	0.33333079020182294	4.104314162250412	0.40133418538607657	1.6163384761894122	0.808	0.4746692097981771	0.7207	0.38736920979817707	0.6525	0.31916920979817703	0.5905	0.2571692097981771	0.5371	0.2037692097981771	0.4809	0.14756920979817706	0.4274	0.09406920979817707	0.3792	0.045869209798177046	0.328	-0.005330790201822921	0.2792	-0.05413079020182293	0.2413	-0.09203079020182295	0.2042	-0.12913079020182294	0.1701	-0.16323079020182293	0.1376	-0.19573079020182294	0.1016	-0.23173079020182294	0.081	-0.2523307902018229	0.0521	-0.28123079020182296	0.0262	-0.30713079020182293
31	2.832	0.177	0.33333079020182294	3.857943624033156	0.41828022530535236	1.7551039978861809	0.8407	0.507369209798177	0.7566	0.4232692097981771	0.6767	0.34336920979817703	0.6027	0.2693692097981771	0.5358	0.20246920979817712	0.4781	0.1447692097981771	0.4217	0.08836920979817708	0.3682	0.03486920979817709	0.3189	-0.014430790201822918	0.2873	-0.046030790201822935	0.2429	-0.09043079020182293	0.1994	-0.13393079020182294	0.1682	-0.16513079020182295	0.1266	-0.20673079020182294	0.0922	-0.24113079020182293	0.0726	-0.26073079020182294	0.0404	-0.29293079020182294	0.0167	-0.31663079020182294
32	2.72	0.17	0.33333079020182294	3.861831951977349	0.42757773149060085	1.8379146474180743	0.856	0.5226692097981771	0.7727	0.4393692097981771	0.6806	0.34726920979817705	0.6086	0.2752692097981771	0.54	0.2066692097981771	0.4778	0.14446920979817707	0.4279	0.09456920979817707	0.3791	0.04576920979817706	0.3235	-0.009830790201822925	0.2766	-0.05673079020182292	0.2436	-0.08973079020182292	0.1953	-0.13803079020182293	0.1633	-0.17003079020182293	0.1336	-0.19973079020182294	0.0982	-0.23513079020182293	0.0658	-0.2675307902018229	0.0383	-0.29503079020182293	0.0093	-0.32403079020182296
33	2.608	0.163	0.33333079020182294	3.8241962530325364	0.43464649363886565	1.906572253559716	0.8715	0.5381692097981772	0.7748	0.4414692097981771	0.6812	0.3478692097981771	0.6148	0.2814692097981771	0.5457	0.21236920979817703	0.4905	0.15716920979817706	0.4232	0.08986920979817709	0.3717	0.03836920979817704	0.3271	-0.006230790201822933	0.2759	-0.05743079020182296	0.2263	-0.10703079020182293	0.1949	-0.13843079020182295	0.1556	-0.17773079020182295	0.1305	-0.20283079020182293	0.0894	-0.24393079020182296	0.0615	-0.27183079020182294	0.0302	-0.30313079020182293	0.0048	-0.3285307902018229
34	2.496	0.156	0.33333079020182294	3.8333326319723615	0.43918502621818334	1.9481381471268833	0.883	0.549669209798177	0.7903	0.45696920979817707	0.6999	0.36656920979817703	0.6274	0.294069209798177	0.5421	0.2087692097981771	0.4898	0.15646920979817708	0.4345	0.10116920979817706	0.3693	0.03596920979817708	0.3165	-0.01683079020182293	0.2781	-0.05523079020182292	0.2371	-0.09623079020182293	0.199	-0.13433079020182292	0.1581	-0.17523079020182294	0.1252	-0.20813079020182293	0.0913	-0.24203079020182294	0.0551	-0.27823079020182295	0.0307	-0.30263079020182293	0.0023	-0.3310307902018229
35	2.384	0.149	0.33333079020182294	3.8891213661018194	0.44156229752115905	1.9699251932324842	0.8837	0.5503692097981772	0.7922	0.4588692097981771	0.7	0.366669209798177	0.6205	0.2871692097981771	0.552	0.2186692097981771	0.4989	0.16556920979817707	0.4326	0.09926920979817705	0.3748	0.04146920979817709	0.322	-0.011330790201822927	0.279	-0.05433079020182291	0.2413	-0.09203079020182295	0.1838	-0.14953079020182294	0.1479	-0.18543079020182293	0.1281	-0.20523079020182294	0.0952	-0.23813079020182293	0.063	-0.27033079020182293	0.0298	-0.30353079020182294	0.0021	-0.33123079020182294
36	2.272	0.142	0.33333079020182294	3.9192208497916363	0.4430541761685163	1.9848138759844005	0.8831	0.549769209798177	0.7852	0.4518692097981771	0.6984	0.3650692097981771	0.6186	0.2852692097981771	0.5609	0.22756920979817702	0.4931	0.15976920979817705	0.4379	0.10456920979817708	0.3742	0.04086920979817704	0.3189	-0.014430790201822918	0.2766	-0.05673079020182292	0.2325	-0.10083079020182292	0.194	-0.13933079020182293	0.1608	-0.17253079020182294	0.1155	-0.21783079020182294	0.094	-0.23933079020182293	0.058	-0.27533079020182294	0.0315	-0.3018307902018229	0.0009	-0.3324307902018229
37	2.16	0.135	0.33333079020182294	3.9227140584041527	0.4437194047495723	1.9919546043965966	0.8823	0.5489692097981771	0.7891	0.4557692097981771	0.7128	0.37946920979817705	0.6211	0.28776920979817705	0.5584	0.22506920979817707	0.484	0.15066920979817705	0.4357	0.10236920979817704	0.382	0.04866920979817707	0.3311	-0.0022307902018229298	0.2746	-0.058730790201822924	0.2298	-0.10353079020182293	0.2029	-0.13043079020182294	0.1612	-0.17213079020182293	0.125	-0.20833079020182294	0.085	-0.24833079020182292	0.0596	-0.27373079020182295	0.0298	-0.30353079020182294	0.0007	-0.33263079020182296
38	2.048	0.128	0.33333079020182294	3.783675317953754	0.44400733639486134	1.9942777865799144	0.8881	0.5547692097981771	0.7928	0.459469209798177	0.6937	0.36036920979817705	0.6294	0.296069209798177	0.5553	0.22196920979817708	0.4813	0.14796920979817707	0.4236	0.09026920979817704	0.3709	0.03756920979817707	0.3315	-0.0018307902018229183	0.2806	-0.05273079020182292	0.2353	-0.09803079020182293	0.1971	-0.13623079020182294	0.152	-0.18133079020182294	0.1216	-0.21173079020182295	0.0888	-0.24453079020182295	0.059	-0.27433079020182294	0.0282	-0.30513079020182293	0.0006	-0.33273079020182295
39	1.936	0.121	0.33333079020182294	3.853318158084078	0.44431056536268443	1.9980881793890148	0.886	0.5526692097981771	0.7929	0.4595692097981771	0.7008	0.36746920979817704	0.6159	0.28256920979817707	0.5526	0.21926920979817704	0.4962	0.16286920979817704	0.4275	0.09416920979817706	0.3792	0.045869209798177046	0.3349	0.0015692097981770403	0.2906	-0.04273079020182291	0.2375	-0.09583079020182295	0.1969	-0.13643079020182294	0.1489	-0.18443079020182293	0.1187	-0.21463079020182294	0.0896	-0.24373079020182292	0.06	-0.27333079020182294	0.0246	-0.3087307902018229	0.0	-0.33333079020182294
40	1.824	0.114	0.33333079020182294	3.8124269433634184	0.4443896252196282	1.9994719247333705	0.8888	0.555469209798177	0.7975	0.46416920979817705	0.707	0.373669209798177	0.6245	0.2911692097981771	0.5492	0.2158692097981771	0.4831	0.14976920979817704	0.4343	0.10096920979817708	0.3731	0.03976920979817705	0.3192	-0.014130790201822951	0.2721	-0.06123079020182293	0.2391	-0.09423079020182293	0.1969	-0.13643079020182294	0.156	-0.17733079020182294	0.1217	-0.21163079020182293	0.0848	-0.24853079020182295	0.0572	-0.27613079020182296	0.0272	-0.30613079020182293	0.0	-0.33333079020182294
41	1.712	0.107	0.33333079020182294	3.841020691445882	0.44443864887580276	1.9995991494506598	0.8861	0.5527692097981771	0.7889	0.4555692097981771	0.6998	0.36646920979817704	0.6319	0.2985692097981771	0.5532	0.2198692097981771	0.484	0.15066920979817705	0.4333	0.09996920979817708	0.3682	0.03486920979817709	0.327	-0.006330790201822922	0.2813	-0.05203079020182294	0.2319	-0.10143079020182294	0.2003	-0.13303079020182293	0.1522	-0.18113079020182293	0.1175	-0.21583079020182294	0.0878	-0.24553079020182295	0.0549	-0.27843079020182293	0.0287	-0.30463079020182293	0.0	-0.33333079020182294
42	1.6	0.1	0.33333079020182294	3.8184284267584068	0.4444375322200358	1.9999008642043918	0.8923	0.5589692097981771	0.787	0.4536692097981771	0.7088	0.37546920979817705	0.6186	0.2852692097981771	0.5527	0.21936920979817703	0.4907	0.1573692097981771	0.4322	0.09886920979817704	0.3716	0.03826920979817705	0.3215	-0.011830790201822927	0.2818	-0.05153079020182294	0.237	-0.09633079020182295	0.1909	-0.14243079020182295	0.1586	-0.17473079020182294	0.1254	-0.20793079020182292	0.0886	-0.24473079020182292	0.057	-0.27633079020182294	0.0261	-0.3072307902018229	0.0	-0.33333079020182294
43	1.2	0.075	0.33333079020182294	3.8835305834555816	0.4444355962332338	1.9998554126359522	0.885	0.551669209798177	0.7925	0.45916920979817705	0.7066	0.37326920979817707	0.614	0.28066920979817706	0.5574	0.22406920979817707	0.4923	0.15896920979817708	0.4356	0.10226920979817705	0.3762	0.042869209798177044	0.3224	-0.010930790201822915	0.282	-0.05133079020182296	0.2493	-0.08403079020182294	0.1986	-0.13473079020182294	0.1654	-0.16793079020182294	0.1182	-0.21513079020182294	0.0862	-0.24713079020182294	0.056	-0.27733079020182294	0.03	-0.30333079020182296	0.0	-0.33333079020182294
