temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16
25	3.066	0.219	0.3333231608072917	3.748011501692575	0.30582608468830585	1.0466186590492725	0.6549	0.32157683919270835	0.6	0.2666768391927083	0.5418	0.20847683919270826	0.4974	0.16407683919270832	0.4494	0.11607683919270834	0.4137	0.08037683919270833	0.376	0.042676839192708316	0.3393	0.005976839192708305	0.2925	-0.0408231608072917	0.2616	-0.07172316080729169	0.2226	-0.11072316080729169	0.1986	-0.1347231608072917	0.1637	-0.16962316080729167	0.1323	-0.20102316080729168	0.1086	-0.22472316080729168	0.0802	-0.2531231608072917
26	2.968	0.212	0.3333231608072917	3.582742316466957	0.3253001105040312	1.144094206392765	0.6786	0.3452768391927083	0.6159	0.2825768391927083	0.5589	0.22557683919270827	0.5061	0.1727768391927083	0.4578	0.1244768391927083	0.4127	0.07937683919270833	0.3617	0.028376839192708336	0.3255	-0.007823160807291674	0.2884	-0.044923160807291695	0.2514	-0.08192316080729167	0.2099	-0.12342316080729168	0.188	-0.14532316080729168	0.1553	-0.1780231608072917	0.1234	-0.20992316080729168	0.0913	-0.2420231608072917	0.0722	-0.2611231608072917
27	2.8699999999999997	0.205	0.3333231608072917	3.7055034750109064	0.3436414683237672	1.227052103728056	0.7029	0.3695768391927083	0.6391	0.3057768391927083	0.5738	0.2404768391927083	0.5151	0.18177683919270832	0.4741	0.14077683919270834	0.42	0.0866768391927083	0.3791	0.04577683919270831	0.3312	-0.0021231608072916908	0.2944	-0.03892316080729169	0.2536	-0.0797231608072917	0.2113	-0.1220231608072917	0.1777	-0.1556231608072917	0.1419	-0.1914231608072917	0.1128	-0.22052316080729167	0.089	-0.2443231608072917	0.059	-0.2743231608072917
28	2.7720000000000002	0.198	0.3333231608072917	3.690511571118606	0.35812089685350657	1.3146018888801336	0.7254	0.39207683919270836	0.6465	0.3131768391927083	0.5906	0.25727683919270833	0.5343	0.2009768391927083	0.4865	0.1531768391927083	0.4221	0.08877683919270829	0.3688	0.03547683919270833	0.3253	-0.008023160807291707	0.2818	-0.05152316080729169	0.245	-0.08832316080729169	0.2043	-0.12902316080729168	0.1675	-0.16582316080729168	0.1379	-0.1954231608072917	0.1076	-0.22572316080729168	0.0788	-0.2545231608072917	0.0506	-0.2827231608072917
29	2.674	0.191	0.3333231608072917	3.5406858493845568	0.3743995130062103	1.4055849928408861	0.7484	0.41507683919270827	0.6706	0.3372768391927083	0.5991	0.2657768391927083	0.5399	0.20657683919270836	0.4734	0.1400768391927083	0.4313	0.09797683919270833	0.3695	0.03617683919270831	0.3285	-0.004823160807291671	0.2825	-0.05082316080729171	0.245	-0.08832316080729169	0.203	-0.13032316080729167	0.1666	-0.1667231608072917	0.1328	-0.20052316080729168	0.0962	-0.23712316080729168	0.069	-0.2643231608072917	0.0397	-0.29362316080729167
30	2.576	0.184	0.3333231608072917	3.5623622248998896	0.3854256309568882	1.4842327199876308	0.7662	0.4328768391927083	0.6901	0.35677683919270836	0.6066	0.27327683919270834	0.5491	0.21577683919270835	0.482	0.1486768391927083	0.4284	0.09507683919270832	0.3829	0.04957683919270833	0.3217	-0.0116231608072917	0.2844	-0.0489231608072917	0.2328	-0.10052316080729168	0.1978	-0.13552316080729168	0.1552	-0.17812316080729168	0.1284	-0.2049231608072917	0.0922	-0.24112316080729168	0.0659	-0.26742316080729167	0.0341	-0.29922316080729167
31	2.4779999999999998	0.177	0.3333231608072917	3.4667407849347494	0.40174861438572407	1.5979391057044268	0.7916	0.4582768391927083	0.7003	0.36697683919270835	0.6238	0.29047683919270834	0.5441	0.21077683919270834	0.488	0.1546768391927083	0.4384	0.10507683919270833	0.3761	0.042776839192708305	0.3276	-0.005723160807291683	0.2843	-0.04902316080729169	0.2312	-0.1021231608072917	0.191	-0.14232316080729168	0.1502	-0.18312316080729168	0.1193	-0.21402316080729167	0.08	-0.25332316080729167	0.0588	-0.27452316080729167	0.0243	-0.3090231608072917
32	2.3800000000000003	0.17	0.3333231608072917	3.5296355552869594	0.4130501849576831	1.6862537674605846	0.8136	0.4802768391927083	0.7259	0.3925768391927083	0.6453	0.3119768391927083	0.5711	0.23777683919270837	0.4961	0.1627768391927083	0.4458	0.11247683919270829	0.3719	0.03857683919270832	0.3127	-0.020623160807291707	0.2806	-0.05272316080729167	0.2341	-0.09922316080729168	0.1924	-0.1409231608072917	0.1491	-0.18422316080729167	0.1162	-0.2171231608072917	0.0835	-0.24982316080729167	0.0479	-0.2854231608072917	0.0183	-0.3150231608072917
33	2.282	0.163	0.3333231608072917	3.518595999049911	0.4230750184506178	1.7717245314270258	0.8304	0.49707683919270834	0.7373	0.40397683919270827	0.6537	0.32037683919270826	0.576	0.24267683919270827	0.5134	0.18007683919270828	0.4364	0.10307683919270832	0.3766	0.043276839192708305	0.3336	0.00027683919270832247	0.2768	-0.056523160807291695	0.2235	-0.10982316080729168	0.183	-0.1503231608072917	0.1497	-0.18362316080729169	0.1054	-0.2279231608072917	0.075	-0.2583231608072917	0.0412	-0.29212316080729167	0.0116	-0.3217231608072917
34	2.184	0.156	0.3333231608072917	3.448708319507555	0.43261711578816175	1.8755341079086065	0.8518	0.5184768391927084	0.7442	0.4108768391927083	0.6544	0.3210768391927083	0.5838	0.2504768391927083	0.5133	0.1799768391927083	0.4381	0.1047768391927083	0.3795	0.04617683919270832	0.3246	-0.008723160807291686	0.2737	-0.059623160807291686	0.2263	-0.10702316080729168	0.1856	-0.1477231608072917	0.1449	-0.18842316080729168	0.1036	-0.2297231608072917	0.0767	-0.2566231608072917	0.0349	-0.2984231608072917	0.0065	-0.3268231608072917
