temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16	q_17	G_17	q_18	G_18	q_19	G_19	q_20	G_20
12	3.78	0.21	0.000975609756097561	nan	1.936489570653066e-05	0.019829653203487396	0.0016	0.0006243902439024391	0.0014	0.000424390243902439	0.0006	-0.00037560975609756103	0.0013	0.00032439024390243897	0.0016	0.0006243902439024391	0.0012	0.00022439024390243892	0.0013	0.00032439024390243897	0.0009	-7.5609756097561e-05	0.0008	-0.00017560975609756094	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0013	0.00032439024390243897	0.0011	0.0001243902439024391	0.0013	0.00032439024390243897	0.0006	-0.00037560975609756103	0.0008	-0.00017560975609756094	0.0015	0.0005243902439024391	0.001	2.4390243902439046e-05
13	3.69	0.205	0.000975609756097561	nan	1.9132487068418413e-05	0.019591666758060455	0.0007	-0.000275609756097561	0.0008	-0.00017560975609756094	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0018	0.000824390243902439	0.0004	-0.000575609756097561	0.0014	0.000424390243902439	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.0013	0.00032439024390243897	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0007	-0.000275609756097561	0.0014	0.000424390243902439	0.0008	-0.00017560975609756094	0.0015	0.0005243902439024391
14	3.6	0.2	0.000975609756097561	nan	1.906743273139e-05	0.01952505111694336	0.0014	0.000424390243902439	0.0011	0.0001243902439024391	0.0012	0.00022439024390243892	0.001	2.4390243902439046e-05	0.0004	-0.000575609756097561	0.0013	0.00032439024390243897	0.0014	0.000424390243902439	0.0004	-0.000575609756097561	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0011	0.0001243902439024391	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0008	-0.00017560975609756094
15	3.5100000000000002	0.195	0.000975609756097561	nan	1.906070247059688e-05	0.019518159329891205	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0008	-0.00017560975609756094	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05	0.0015	0.0005243902439024391	0.0015	0.0005243902439024391	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0005	-0.00047560975609756096	0.001	2.4390243902439046e-05	0.0007	-0.000275609756097561	0.001	2.4390243902439046e-05	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.0007	-0.000275609756097561	0.0015	0.0005243902439024391	0.0008	-0.00017560975609756094	0.0013	0.00032439024390243897	0.001	2.4390243902439046e-05
16	3.42	0.19	0.000975609756097561	nan	1.941355731105432e-05	0.019879482686519623	0.0009	-7.5609756097561e-05	0.0016	0.0006243902439024391	0.0015	0.0005243902439024391	0.001	2.4390243902439046e-05	0.0001	-0.0008756097560975609	0.0011	0.0001243902439024391	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.0014	0.000424390243902439	0.0004	-0.000575609756097561	0.0011	0.0001243902439024391	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0011	0.0001243902439024391	0.0006	-0.00037560975609756103	0.0008	-0.00017560975609756094	0.0004	-0.000575609756097561
17	3.33	0.185	0.000975609756097561	nan	1.9180981325916946e-05	0.019641324877738953	0.0009	-7.5609756097561e-05	0.0014	0.000424390243902439	0.0015	0.0005243902439024391	0.0016	0.0006243902439024391	0.0007	-0.000275609756097561	0.0011	0.0001243902439024391	0.0008	-0.00017560975609756094	0.0007	-0.000275609756097561	0.0011	0.0001243902439024391	0.0012	0.00022439024390243892	0.0007	-0.000275609756097561	0.0012	0.00022439024390243892	0.0005	-0.00047560975609756096	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0011	0.0001243902439024391	0.0009	-7.5609756097561e-05	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.001	2.4390243902439046e-05
18	3.2399999999999998	0.18	0.000975609756097561	nan	1.9314305973239243e-05	0.019777849316596985	0.0012	0.00022439024390243892	0.0011	0.0001243902439024391	0.0006	-0.00037560975609756103	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0005	-0.00047560975609756096	0.0007	-0.000275609756097561	0.0012	0.00022439024390243892	0.0014	0.000424390243902439	0.0008	-0.00017560975609756094	0.0008	-0.00017560975609756094	0.0011	0.0001243902439024391	0.0009	-7.5609756097561e-05	0.0011	0.0001243902439024391	0.0006	-0.00037560975609756103	0.0015	0.0005243902439024391	0.0009	-7.5609756097561e-05	0.0014	0.000424390243902439
19	3.15	0.175	0.000975609756097561	nan	1.90338323591277e-05	0.019490644335746765	0.0011	0.0001243902439024391	0.0011	0.0001243902439024391	0.0004	-0.000575609756097561	0.0013	0.00032439024390243897	0.001	2.4390243902439046e-05	0.0008	-0.00017560975609756094	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.0014	0.000424390243902439	0.0015	0.0005243902439024391	0.0012	0.00022439024390243892	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0011	0.0001243902439024391	0.0007	-0.000275609756097561	0.0021	0.001124390243902439	0.0003	-0.0006756097560975611	0.001	2.4390243902439046e-05	0.0008	-0.00017560975609756094
20	3.06	0.17	0.000975609756097561	nan	1.9614773918874562e-05	0.02008552849292755	0.0015	0.0005243902439024391	0.0011	0.0001243902439024391	0.0011	0.0001243902439024391	0.0008	-0.00017560975609756094	0.0013	0.00032439024390243897	0.0012	0.00022439024390243892	0.0012	0.00022439024390243892	0.0007	-0.000275609756097561	0.0009	-7.5609756097561e-05	0.0013	0.00032439024390243897	0.0013	0.00032439024390243897	0.0008	-0.00017560975609756094	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0007	-0.000275609756097561	0.001	2.4390243902439046e-05	0.0007	-0.000275609756097561	0.0016	0.0006243902439024391	0.0008	-0.00017560975609756094	0.0009	-7.5609756097561e-05
21	2.97	0.165	0.000975609756097561	nan	1.9315782992634922e-05	0.01977936178445816	0.0014	0.000424390243902439	0.0007	-0.000275609756097561	0.0017	0.0007243902439024389	0.0003	-0.0006756097560975611	0.0012	0.00022439024390243892	0.0014	0.000424390243902439	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05	0.0012	0.00022439024390243892	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.001	2.4390243902439046e-05	0.0011	0.0001243902439024391	0.001	2.4390243902439046e-05	0.0013	0.00032439024390243897	0.0006	-0.00037560975609756103	0.0007	-0.000275609756097561	0.0005	-0.00047560975609756096	0.0012	0.00022439024390243892	0.0009	-7.5609756097561e-05
