temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10
14	2.368	0.296	0.3326822916666667	0.998764970059885	0.05649566650390625	0.27478790283203125	0.4327	0.10001770833333329	0.3687	0.03601770833333334	0.3471	0.014417708333333334	0.3432	0.01051770833333332	0.3319	-0.0007822916666667123	0.3245	-0.008182291666666675	0.3152	-0.017482291666666705	0.31	-0.022682291666666687	0.3005	-0.032182291666666696	0.2816	-0.05108229166666667
15	2.312	0.289	0.3326822916666667	1.1658375946562571	0.03942108154296875	0.181671142578125	0.4154	0.0827177083333333	0.3683	0.03561770833333333	0.347	0.01431770833333329	0.3267	-0.005982291666666695	0.3311	-0.0015822916666666798	0.3261	-0.006582291666666684	0.3312	-0.0014822916666666908	0.3116	-0.021082291666666697	0.3009	-0.031782291666666684	0.2937	-0.03898229166666667
16	2.256	0.282	0.3326822916666667	1.1153000006778395	0.06174468994140625	0.2908477783203125	0.4346	0.1019177083333333	0.3653	0.03261770833333333	0.3595	0.0268177083333333	0.3429	0.010217708333333297	0.324	-0.008682291666666675	0.3195	-0.013182291666666679	0.3165	-0.01618229166666668	0.3051	-0.027582291666666703	0.2927	-0.03998229166666667	0.2888	-0.043882291666666684
17	2.2	0.275	0.3326822916666667	1.4081606155562203	0.08627700805664062	0.360809326171875	0.4573	0.1246177083333333	0.3882	0.055517708333333304	0.3664	0.03371770833333332	0.349	0.016317708333333292	0.3274	-0.005282291666666661	0.3213	-0.01138229166666671	0.2954	-0.03728229166666669	0.2915	-0.041182291666666704	0.2903	-0.04238229166666668	0.2844	-0.0482822916666667
18	2.144	0.268	0.3326822916666667	1.547481128585614	0.10073471069335938	0.39942169189453125	0.4564	0.12371770833333329	0.3989	0.06621770833333329	0.3635	0.030817708333333305	0.353	0.020317708333333295	0.3326	-8.229166666667842e-05	0.3154	-0.01728229166666667	0.3011	-0.031582291666666706	0.2775	-0.05518229166666666	0.2678	-0.0648822916666667	0.2493	-0.08338229166666669
19	2.088	0.261	0.3326822916666667	1.9259459846971934	0.12861251831054688	0.44852447509765625	0.4785	0.1458177083333333	0.4277	0.09501770833333334	0.3854	0.052717708333333335	0.3575	0.0248177083333333	0.3265	-0.006182291666666673	0.3067	-0.025982291666666713	0.2901	-0.04258229166666666	0.2711	-0.06158229166666668	0.2575	-0.07518229166666668	0.2489	-0.08378229166666668
20	2.032	0.254	0.3326822916666667	1.956015824421129	0.16698455810546875	0.5856399536132812	0.512	0.17931770833333333	0.4394	0.10671770833333333	0.4039	0.0712177083333333	0.3651	0.032417708333333295	0.3404	0.007717708333333295	0.303	-0.029682291666666694	0.2653	-0.0673822916666667	0.2387	-0.09398229166666669	0.2152	-0.11748229166666668	0.1907	-0.14198229166666668
21	1.976	0.247	0.3326822916666667	1.7787166874230218	0.14955902099609375	0.52166748046875	0.5111	0.1784177083333333	0.4318	0.09911770833333333	0.3963	0.0636177083333333	0.3614	0.028717708333333314	0.3252	-0.007482291666666696	0.2975	-0.0351822916666667	0.2818	-0.05088229166666669	0.2547	-0.0779822916666667	0.236	-0.0966822916666667	0.1999	-0.1327822916666667
22	1.92	0.24	0.3326822916666667	1.9226375064950934	0.20517730712890625	0.6979522705078125	0.5414	0.2087177083333333	0.4602	0.1275177083333333	0.4108	0.07811770833333331	0.3701	0.0374177083333333	0.3385	0.005817708333333338	0.2976	-0.03508229166666671	0.2603	-0.07238229166666671	0.218	-0.11468229166666669	0.1782	-0.1544822916666667	0.1338	-0.19888229166666668
23	1.864	0.233	0.3326822916666667	2.0877668495620134	0.21537399291992188	0.74755859375	0.5451	0.21241770833333334	0.4717	0.13901770833333332	0.4147	0.08201770833333333	0.379	0.04631770833333332	0.3399	0.007217708333333295	0.2919	-0.04078229166666669	0.25	-0.08268229166666669	0.2092	-0.12348229166666669	0.1778	-0.15488229166666667	0.1351	-0.1975822916666667
24	1.808	0.226	0.3326822916666667	2.122325573293832	0.24785995483398438	0.842681884765625	0.5659	0.23321770833333327	0.4898	0.15711770833333333	0.4276	0.0949177083333333	0.3801	0.04741770833333331	0.3293	-0.0033822916666667036	0.2948	-0.03788229166666668	0.2297	-0.1029822916666667	0.1936	-0.1390822916666667	0.1535	-0.1791822916666667	0.1188	-0.21388229166666667
25	1.752	0.219	0.3326822916666667	1.9715954900913673	0.2599678039550781	0.9475326538085938	0.5931	0.2604177083333333	0.5027	0.17001770833333335	0.4383	0.10561770833333334	0.3711	0.0384177083333333	0.3296	-0.003082291666666681	0.274	-0.058682291666666664	0.2376	-0.09508229166666668	0.1957	-0.13698229166666667	0.1536	-0.1790822916666667	0.1099	-0.2227822916666667
26	1.696	0.212	0.3326822916666667	2.0160817245137177	0.2736625671386719	0.942352294921875	0.5948	0.2621177083333333	0.4993	0.16661770833333334	0.438	0.10531770833333332	0.3802	0.0475177083333333	0.3272	-0.005482291666666694	0.2779	-0.054782291666666705	0.2297	-0.1029822916666667	0.1777	-0.1549822916666667	0.1326	-0.2000822916666667	0.091	-0.2416822916666667
27	1.64	0.205	0.3326822916666667	2.036932833948415	0.2977180480957031	1.04254150390625	0.6232	0.2905177083333333	0.5235	0.19081770833333328	0.4508	0.1181177083333333	0.3835	0.05081770833333332	0.3352	0.002517708333333313	0.2729	-0.05978229166666671	0.2242	-0.10848229166666667	0.166	-0.16668229166666668	0.1214	-0.21128229166666668	0.0782	-0.2544822916666667
28	1.584	0.198	0.3326822916666667	2.13203689649705	0.33426666259765625	1.2337722778320312	0.6532	0.3205177083333333	0.5592	0.22651770833333335	0.4634	0.1307177083333333	0.3939	0.06121770833333329	0.3234	-0.009282291666666664	0.2604	-0.07228229166666666	0.2074	-0.12528229166666668	0.1498	-0.1828822916666667	0.0983	-0.2343822916666667	0.0599	-0.2727822916666667
29	1.528	0.191	0.3326822916666667	2.136234276956552	0.34405517578125	1.2469482421875	0.668	0.33531770833333335	0.5536	0.2209177083333333	0.4765	0.1438177083333333	0.3982	0.06551770833333331	0.3278	-0.004882291666666705	0.2689	-0.06378229166666671	0.2043	-0.12838229166666668	0.1392	-0.1934822916666667	0.0922	-0.24048229166666668	0.0387	-0.2939822916666667
