temp_index	temp	sweep	S	E	accepted	nonnull	null
0	1.7187499999999993	89	87494	-0.00043458739916483563	1479259777	1492808403	363821
0	1.7187499999999993	90	87849	-0.00043635070323944092	1495880402	1509581608	367832
0	1.7187499999999993	91	87813	-0.00043617188930511475	1512501977	1526354725	371931
0	1.7187499999999993	92	87895	-0.0004365791877110799	1529122891	1543127993	375879
0	1.7187499999999993	93	87512	-0.00043467680613199872	1545743793	1559901133	379955
0	1.7187499999999993	94	87864	-0.00043642520904541016	1562364213	1576674223	384081
0	1.7187499999999993	95	87590	-0.00043506423632303876	1578985603	1593447417	388103
0	1.7187499999999993	96	88071	-0.00043745338916778564	1595606325	1610220535	392201
0	1.7187499999999993	97	87945	-0.00043682754039764404	1612226250	1626993674	396278
0	1.7187499999999993	98	88254	-0.00043836236000061035	1628847631	1643766817	400351
0	1.7187499999999993	99	87771	-0.00043596327304840088	1645467959	1660539926	404458
0	1.7187499999999993	100	88028	-0.00043723980585734051	1662088741	1677313043	408557
1	0.74529200563365905	1	152132	-0.00075564781824747718	16410608	16773137	4079
1	0.74529200563365905	2	174854	-0.00086850921312967933	32708305	33546117	8315
1	0.74529200563365905	3	182221	-0.00090510149796803796	48965247	50319201	12447
1	0.74529200563365905	4	185276	-0.00092027584711710608	65209813	67092319	16545
1	0.74529200563365905	5	186782	-0.00092775623003641761	81446963	83865525	20555
1	0.74529200563365905	6	186971	-0.00092869500319163001	97681740	100638553	24743
1	0.74529200563365905	7	187280	-0.00093022982279459632	113916696	117411687	28825
1	0.74529200563365905	8	188087	-0.00093423823515574134	130151122	134184783	32945
1	0.74529200563365905	9	187360	-0.00093062718709309899	146385830	150957960	36984
1	0.74529200563365905	10	187856	-0.00093309084574381507	162619432	167731131	41029
1	0.74529200563365905	11	187319	-0.00093042353789011634	178853202	184504210	45166
1	0.74529200563365905	12	187248	-0.00093007087707519531	195088742	201277422	49170
1	0.74529200563365905	13	187728	-0.00093245506286621094	211322511	218050478	53330
1	0.74529200563365905	14	188068	-0.00093414386113484704	227556002	234823557	57467
1	0.74529200563365905	15	187978	-0.00093369682629903161	243787805	251596528	61712
1	0.74529200563365905	16	187329	-0.0009304732084274292	260020443	268369629	65827
1	0.74529200563365905	17	187558	-0.00093161066373189294	276253695	285142678	69994
1	0.74529200563365905	18	187709	-0.00093236068884531653	292487843	301915767	74121
1	0.74529200563365905	19	188091	-0.0009342581033706665	308720822	318688799	78305
1	0.74529200563365905	20	187537	-0.00093150635560353601	324954321	335461955	82365
1	0.74529200563365905	21	188955	-0.00093854963779449463	341187086	352235077	86459
1	0.74529200563365905	22	187949	-0.00093355278174082435	357417726	369008198	90554
1	0.74529200563365905	23	187224	-0.00092995166778564453	373651141	385781388	94580
1	0.74529200563365905	24	186958	-0.00092863043149312341	389884818	402554530	98654
1	0.74529200563365905	25	187734	-0.00093248486518859863	406120408	419327674	102726
1	0.74529200563365905	26	187281	-0.00093023478984832764	422354363	436100751	106865
1	0.74529200563365905	27	188009	-0.0009338508049647013	438588287	452873836	110996
1	0.74529200563365905	28	188452	-0.00093605120976765954	454821034	469647080	114968
1	0.74529200563365905	29	188015	-0.00093388060728708899	471054106	486420148	119116
1	0.74529200563365905	30	187661	-0.00093212227026621497	487287243	503193253	123227
1	0.74529200563365905	31	187494	-0.00093129277229309082	503520705	519966390	127306
1	0.74529200563365905	32	187726	-0.00093244512875874841	519755239	536739499	131413
1	0.74529200563365905	33	187808	-0.00093285242716471351	535988727	553512654	135474
1	0.74529200563365905	34	188317	-0.0009353806575139364	552219779	570285736	139608
1	0.74529200563365905	35	187885	-0.00093323489030202233	568452394	587058846	143714
1	0.74529200563365905	36	187946	-0.0009335378805796305	584687110	603832040	147736
1	0.74529200563365905	37	187821	-0.00093291699886322021	600919939	620605114	151878
1	0.74529200563365905	38	188021	-0.00093391040960947669	617154072	637378247	155961
1	0.74529200563365905	39	187352	-0.00093058745066324866	633387088	654151360	160064
1	0.74529200563365905	40	188442	-0.00093600153923034668	649621544	670924523	164117
1	0.74529200563365905	41	188232	-0.00093495845794677734	665851617	687697566	168290
1	0.74529200563365905	42	188294	-0.00093526641527811683	682083334	704470642	172430
1	0.74529200563365905	43	188290	-0.00093524654706319177	698313817	721243725	176563
1	0.74529200563365905	44	188580	-0.00093668699264526367	714546276	738016835	180669
1	0.74529200563365905	45	188275	-0.00093517204125722253	730779249	754789841	184879
1	0.74529200563365905	46	188779	-0.00093767543633778894	747010903	771562950	188986
1	0.74529200563365905	47	188803	-0.00093779464562733972	763242730	788336121	193031
1	0.74529200563365905	48	188472	-0.00093615055084228516	779474816	805109221	197147
1	0.74529200563365905	49	188103	-0.00093431770801544189	795707279	821882395	201189
1	0.74529200563365905	50	188089	-0.00093424816926320397	811940805	838655555	205245
1	0.74529200563365905	51	187832	-0.00093297163645426429	828172506	855428670	209346
1	0.74529200563365905	52	187642	-0.00093202789624532067	844404931	872201747	213485
1	0.74529200563365905	53	187875	-0.00093318521976470947	860640514	888974894	217554
1	0.74529200563365905	54	188203	-0.00093481441338857019	876872266	905748112	221552
1	0.74529200563365905	55	187577	-0.00093170503775278724	893102737	922521169	225711
1	0.74529200563365905	56	187816	-0.00093289216359456384	909336543	939294298	229798
