temp_index	temp	path	dtype
21	1.95	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T021.bin	uint16
22	1.8999999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T022.bin	uint16
23	1.8500000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T023.bin	uint16
24	1.8	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T024.bin	uint16
25	1.75	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T025.bin	uint16
26	1.7	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T026.bin	uint16
27	1.6499999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T027.bin	uint16
28	1.6000000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T028.bin	uint16
29	1.55	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T029.bin	uint16
30	1.5	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T030.bin	uint16
31	1.45	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T031.bin	uint16
32	1.3999999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T032.bin	uint16
33	1.3500000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T033.bin	uint16
34	1.3	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T034.bin	uint16
35	1.25	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T035.bin	uint16
36	1.2	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T036.bin	uint16
37	1.1499999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T037.bin	uint16
38	1.1000000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T038.bin	uint16
39	1.05	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T039.bin	uint16
40	1	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T040.bin	uint16
41	0.94999999999999996	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T041.bin	uint16
42	0.90000000000000002	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T042.bin	uint16
43	0.84999999999999998	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T043.bin	uint16
44	0.80000000000000004	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T044.bin	uint16
45	0.75	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T045.bin	uint16
46	0.69999999999999996	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T046.bin	uint16
47	0.65000000000000002	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T047.bin	uint16
48	0.59999999999999998	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T048.bin	uint16
49	0.55000000000000004	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T049.bin	uint16
50	0.5	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T050.bin	uint16
51	0.45000000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T051.bin	uint16
