temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
83	6.7	85806931.03	376511409439.25586	-0.4262076369424661	499.92935650497884	0.4540221623603022	0.6666547303540366	8356.169562452997
84	6.6	87923402.20666666	774559267958.4175	-0.43672026299768024	1059.8560611604244	0.4285428246895569	0.6666793756825583	8232.707061968009
85	6.5	90142357.21	1640581333792.026	-0.44774193172653515	2314.4678728002427	0.4036633208876438	0.6666636780330113	8217.511550561001
86	6.4	92570592.46333334	3222308518697.7754	-0.45980310670203633	4689.076040373438	0.3785046291617792	0.6666664894989559	8227.440150216004
87	6.3	95231694.07	5882722758594.599	-0.473020941366752	8834.406660068962	0.35303030756022735	0.6666708864484514	8201.488859848003
88	6.2	98229633.78666666	9838085193117.475	-0.4879118690225813	15254.827606810544	0.3269242686048926	0.666669453893389	8208.672535156002
89	6.1	101455677.55666667	15393115228932.9	-0.5039358017676406	24657.381489040617	0.3012083787325177	0.6666713924067361	8200.699064857996
90	6.0	104948324.59666666	23527655476082.695	-0.5212839672797256	38954.376306935636	0.2758032440535478	0.6666708740166255	8211.451629055999
91	5.9	108610578.11666667	33755783992103.184	-0.5394745772911442	57799.52639942911	0.2515009981722489	0.6666607522964477	8213.219335507994
92	5.8	112344093.24	46599038843721.19	-0.5580191475152969	82565.96781077977	0.22877851576628158	0.6666713762283325	8193.521787186008
93	5.7	116183962.99	61355017405614.805	-0.5770919868846734	112559.0648707165	0.20715372839858684	0.6666693615913392	8178.463259651995
94	5.6	120256145.28	77474401440623.84	-0.5973187351226806	147252.36533974478	0.18587334778092188	0.666667218208313	8234.423419814004
95	5.5	124393287.35333332	93170644222368.19	-0.6178681420948771	183583.57528491097	0.1660379608873424	0.6666731349059514	8206.773634284
96	5.4	128604782.18666667	108724252788826.77	-0.6387868632210626	222238.35617104912	0.1475673113233925	0.6666675388813019	8067.996259239997
97	5.3	132818653.24	120603170220559.0	-0.6597173871596654	255909.90102464892	0.13044297187663909	0.666674747807639	8069.601290685998
98	5.2	137150467.39333332	131543221696358.75	-0.6812337408132023	289962.5370496272	0.11419859370236518	0.6666613292694091	8064.341190570005
99	5.1	141520362.23666668	137143419093950.75	-0.7029392433000935	314278.5381921361	0.09902445710928817	0.6666585692337581	8083.490227481001
100	5.0	145883370.30666667	136569236606838.11	-0.7246105388138029	325606.43340787437	0.08494883430307285	0.6666731022085463	8075.677587939994
101	4.9	150202960.3	132565558998294.7	-0.7460661744078	329093.00514554116	0.07217592573895192	0.6666669487953186	8036.521166298
102	4.8	154262432.90333334	125235130398224.3	-0.7662297929492262	323984.17798549845	0.061081040464249475	0.6666716698237828	8072.023893976002
103	4.7	158350453.31333333	113428604895161.95	-0.7865352099802759	306060.28529399104	0.05079307831774347	0.6666614079475403	8030.110778556002
104	4.6	162319634.75666666	96417422355332.34	-0.8062503474785222	271593.8662404722	0.041419096638800584	0.6666757621083941	8076.753122448004
105	4.5	166081965.90666667	77167996247564.75	-0.8249380484554503	227139.3088575197	0.03309640820506084	0.666663806608745	8066.667102067004
106	4.4	169455444.94	57898378267224.53	-0.841694300075372	178254.76599633854	0.026042592056411216	0.666671679019928	8069.021556249994
107	4.3	172671476.63	39453797737602.19	-0.8576685022811095	127183.86150296859	0.01972234789595666	0.6666743733201708	8065.8029032969935
108	4.2	175389117.13	24622657284208.83	-0.8711671686669191	83198.68145416392	0.01471357637604785	0.6666694780758449	8024.625073554998
109	4.1	177579884.27666667	14391783030409.412	-0.8820488267971409	51030.167472459725	0.010938279573698499	0.6666652791840689	8019.243033363993
110	4.0	179376955.47333333	7893715833964.578	-0.8909749759899246	29406.38301508344	0.008016661311374022	0.6666679278441838	8051.546276178997
111	3.9	180758143.43666667	4166232487149.082	-0.897835410816802	16326.548813163263	0.0058783409649288115	0.666677132163729	7982.651857019999
112	3.8	181784311.53	2172268535783.502	-0.9029324428737163	8966.571636574346	0.004304424364199162	0.6666677728721073	7985.152006156
113	3.7	182579538.44333333	1105822099354.6016	-0.906882377680805	4814.6189493650645	0.0030873680102763206	0.6666682481765747	8017.0980064049945
114	3.6	183169146.56333333	525686933444.0586	-0.9098109928932455	2417.6993002312906	0.002179891170120463	0.6666603774683816	7981.190879089001
115	3.5	183592880.01333332	247950893694.17188	-0.9119156997071373	1206.451015541368	0.0015284010209682588	0.6666701636995588	8004.441536742001
116	3.4	183898900.86666667	111168982398.01367	-0.9134357217285368	573.199628535922	0.001044747699963231	0.6666605007648468	7982.4940913180035
117	3.3	184114565.76666668	47717024799.50586	-0.9145069408747885	261.1713785962399	0.0006974449518964745	0.6666655903203147	7994.236497164005
118	3.2	184258090.42666668	20606355860.558594	-0.9152198355727725	119.94477745936364	0.0004678484171659714	0.6666682725293296	8009.760949489006
119	3.1	184367166.12333333	7921940919.787109	-0.915761620418893	49.13470077581081	0.00029006195303706315	0.6666656044551305	7987.77477879799
120	3.0	184432870.78666666	3079950200.0742188	-0.9160879790120655	20.397704177924123	0.00018187338876885837	0.666675284419741	8014.411211251994
121	2.9	184477206.36	1103875941.3710938	-0.9163081961870193	7.82355925820737	0.00011422407363313622	0.6666635014329638	8016.9217030739965
122	2.8	184507794.45	360554059.4628906	-0.9164601288735866	2.741160285281973	6.661455182932236e-05	0.6666643595695496	8011.774323228994
123	2.7	184523771.67666668	140828557.59765625	-0.9165394886169169	1.15144528804375	3.763654158061579e-05	0.66667048062597	8033.755086110003
124	2.6	184535857.92333332	41532798.361328125	-0.9165995216535198	0.36620528000811964	1.98374489387974e-05	0.6666637592656272	8031.252542852992
125	2.5	184541089.64333332	11092718.298828125	-0.9166255078878668	0.10578840540722012	1.2692586712632343e-05	0.6666604580198016	7997.2540509289975
126	2.4	184545815.5	2725232.576171875	-0.9166489814718565	0.028200784658515155	5.4765809134734185e-06	0.6666641100815365	8017.36836602501
127	2.3	184547769.07333332	575970.341796875	-0.9166586849755711	0.006489698983735929	2.310276598241234e-06	0.6666665031228747	8007.5936201300065
128	2.2	184548525.07333332	144204.107421875	-0.916662440068192	0.0017758749169489935	1.2197884068686308e-06	0.6666546830109188	8026.518165831003
129	2.1	184548925.72666666	25797.623046875	-0.9166644301348262	0.00034867531921959515	6.069539877102302e-07	0.6666574348722185	8020.851976915001
130	2.0	184549083.62333333	18597.52734375	-0.9166652144160535	0.0002771247527562082	3.044954098342596e-07	0.6666648614406586	8016.319238086013
131	1.9	184549371.8	175.759765625	-0.916666645805041	2.901966314649318e-06	7.152553664624754e-09	0.66666701231684	8012.053325304005
132	1.8	184549363.29333332	613.9140625	-0.9166666035519706	1.129386716602761e-05	1.0728934341625266e-08	0.6666605596882956	7980.555036106991
133	1.7	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666725926739829	7983.780486984004
134	1.6	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666629658426557	7985.387367623
135	1.5	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666690696988787	7989.244464777003
136	1.4	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666666797229222	8025.885566291996
137	1.3	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666555520466396	7999.752291800993
138	1.2	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666707338605609	8007.1237228009995
139	1.1	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666675988265446	7997.967047597005
140	1.0	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666704080786023	7987.01312412
141	0.9	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666617786884308	7974.700686997996
142	0.8	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666741371154785	7994.20348389601
143	0.7	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666688123771123	7989.134281046994
144	0.6	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.666663545199803	4070.016634072992
145	0.5	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.666665266752243	3931.7782726250007
146	0.4	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666600011076246	3952.1332891519996
147	0.3	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666613345486777	3955.888062418002
148	0.2	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666701594420842	3910.7426695739996
149	0.1	184549377.0	0.0	-0.9166666716337204	0.0	0.0	0.6666668726716722	3909.73997291
