temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8
22	1.44	0.24	0.3307291666666667	1.2631500391515411	0.1551513671875	0.72265625	0.4891	0.1583708333333333	0.4067	0.07597083333333332	0.3592	0.028470833333333334	0.3267	-0.004029166666666695	0.2994	-0.031329166666666686	0.265	-0.06572916666666667	0.2275	-0.10322916666666668	0.1921	-0.1386291666666667
23	1.3980000000000001	0.233	0.3307291666666667	1.0366831701348462	0.13372802734375	0.5914306640625	0.4942	0.1634708333333333	0.3951	0.06437083333333332	0.352	0.021270833333333294	0.3161	-0.014629166666666693	0.2967	-0.034029166666666666	0.2734	-0.05732916666666671	0.2784	-0.052329166666666704	0.2884	-0.042329166666666695
24	1.356	0.226	0.3307291666666667	1.41197052010145	0.1888427734375	0.792236328125	0.5179	0.18717083333333334	0.4172	0.08647083333333333	0.381	0.05027083333333332	0.3245	-0.0062291666666666745	0.287	-0.04372916666666671	0.2516	-0.0791291666666667	0.2185	-0.11222916666666669	0.1963	-0.13442916666666668
25	1.314	0.219	0.3307291666666667	1.4285258267988061	0.2269287109375	1.02294921875	0.537	0.20627083333333335	0.436	0.10527083333333331	0.3792	0.048470833333333296	0.3254	-0.005329166666666663	0.2838	-0.04692916666666669	0.2345	-0.0962291666666667	0.1946	-0.1361291666666667	0.1182	-0.21252916666666669
26	1.272	0.212	0.3307291666666667	1.6753027054052585	0.312744140625	1.2626953125	0.6001	0.2693708333333333	0.4907	0.15997083333333334	0.404	0.07327083333333334	0.3273	-0.0034291666666667053	0.2501	-0.0806291666666667	0.186	-0.1447291666666667	0.1296	-0.2011291666666667	0.069	-0.2617291666666667
27	1.23	0.205	0.3307291666666667	1.626315056804686	0.33404541015625	1.290771484375	0.6197	0.28897083333333334	0.4977	0.1669708333333333	0.4073	0.07657083333333331	0.3239	-0.006829166666666664	0.2545	-0.07622916666666668	0.1814	-0.14932916666666668	0.1144	-0.21632916666666668	0.0526	-0.2781291666666667
28	1.1880000000000002	0.19800000000000004	0.3307291666666667	1.3366052957683798	0.278076171875	1.0015869140625	0.5895	0.25877083333333334	0.4535	0.12277083333333333	0.3884	0.05767083333333334	0.3257	-0.005029166666666696	0.2605	-0.07022916666666668	0.2012	-0.1295291666666667	0.1384	-0.1923291666666667	0.0672	-0.2635291666666667
29	1.146	0.19099999999999998	0.3307291666666667	1.6305920544651324	0.32806396484375	1.2410888671875	0.6266	0.29587083333333336	0.5028	0.17207083333333334	0.4088	0.07807083333333331	0.3187	-0.012029166666666702	0.2482	-0.08252916666666668	0.1874	-0.14332916666666667	0.1092	-0.22152916666666667	0.0501	-0.2806291666666667
30	1.104	0.18400000000000002	0.3307291666666667	1.8087214772333875	0.35791015625	1.4442138671875	0.6312	0.3004708333333333	0.5168	0.18607083333333335	0.4214	0.09067083333333331	0.3194	-0.011329166666666668	0.2464	-0.08432916666666668	0.1627	-0.16802916666666667	0.0883	-0.2424291666666667	0.0316	-0.29912916666666667
31	1.0619999999999998	0.17699999999999996	0.3307291666666667	1.6548446408696074	0.3621826171875	1.3909912109375	0.6449	0.31417083333333334	0.5182	0.1874708333333333	0.4131	0.08237083333333334	0.3265	-0.004229166666666673	0.2426	-0.08812916666666668	0.166	-0.16472916666666668	0.09	-0.2407291666666667	0.0224	-0.3083291666666667
